Neighborhood,listings_count,avg_price
Rancho Del Rey,8,309.0
Horton Plaza,2,303.5
Mission Bay,1680,295.0
La Jolla,847,285.0
Del Mar Heights,80,272.0
Wooded Area,49,251.0
Torrey Pines,15,219.0
Ocean Beach,522,177.0
Carmel Mountain,22,160.0
Marina,161,159.0
Pacific Beach,1052,157.0
Little Italy,242,155.5
Mission Valley,69,153.0
Columbia,15,151.0
Midtown District,57,150.0
East Village,745,149.0
Gaslamp Quarter,233,149.0
Bay Park,191,145.0
Roseville,95,145.0
North City,44,137.5
Cortez Hill,166,137.0
Midtown,576,135.0
Egger Highlands,10,132.5
West University Heights,214,131.5
Eastlake Woods,4,130.0
Old Town,211,130.0
East Lake,9,126.0
Talmadge,41,125.0
Gateway,18,122.0
Balboa Park,311,120.0
Bario Logan,7,120.0
Sorrento Valley,31,120.0
Carmel Valley,156,120.0
Grant Hill,171,119.0
Park West,211,118.0
Loma Portal,336,115.0
La Jolla Village,50,112.5
Eastlake Trails,2,112.5
North Hills,629,110.0
Core,129,110.0
Kensington,56,102.5
South Park,101,100.0
Sabre Springs,13,100.0
Linda Vista,133,100.0
Del Cerro,29,100.0
Normal Heights,156,99.5
Moreno Mission,95,99.0
San Carlos,49,99.0
Rancho Bernadino,53,95.0
Lake Murray,23,95.0
Memorial,93,92.0
Palm City,4,90.5
Grantville,60,90.0
University City,230,90.0
Estlake Greens,9,90.0
Rancho Penasquitos,85,90.0
Northwest,91,90.0
Rolando,49,88.0
Scripps Ranch,51,85.0
Bird Land,23,85.0
Webster,25,85.0
El Cerritos,22,84.0
Rolling Hills Ranch,6,84.0
Lynwood Hills,6,82.5
Darnall,28,82.5
Tijuana River Valley,4,81.5
Mount Hope,26,80.0
Bay Ho,91,80.0
College Area,120,80.0
Serra Mesa,137,79.0
Bonita Long Canyon,4,77.5
Southwest,52,77.5
Allied Gardens,22,77.0
Chollas View,7,75.0
City Heights West,109,75.0
Emerald Hills,17,74.0
Southcrest,10,72.5
Clairemont Mesa,170,71.0
Mountain View,33,70.0
Tierrasanta,18,70.0
Terra Nova,3,70.0
Eastlake Vistas,14,70.0
City Heights East,52,69.0
Paseo Ranchoero,5,65.0
Paradise Hills,31,65.0
Encanto,41,65.0
Sky Line,7,65.0
Kearny Mesa,13,65.0
North Clairemont,105,65.0
Lincoln Park,4,63.5
Jomacha-Lomita,18,61.5
Valencia Park,18,61.5
Alta Vista,7,60.0
Oak Park,23,60.0
Bay Terrace,27,60.0
Amphitheater And Water Park,3,60.0
Otay Ranch,63,58.0
Sunbow,10,54.5
Yosemite Dr,4,52.0
Mira Mesa,207,50.0
San Ysidro,16,49.0
Nestor,12,39.0
