,Location,Burrito,Neighborhood,Yelp,Google,Cost,overall,Total Listings,Average Price/Night
0,Nico's Taco Shop,California,Carmel Valley,3.0,2.9,7.19,2.6,156,120.0
1,Porkyland ,Deborah's special,Carmel Valley,4.0,4.4,8.25,4.0,156,120.0
2,Taco Stand,California,La Jolla,4.5,4.4,7.49,4.2,847,285.0
3,Rigoberto's Taco Shop La Jolla,California,La Jolla,2.5,4.0,6.4,3.0,847,285.0
4,Goody's,Custom,La Jolla,3.5,4.1,7.25,1.8,847,285.0
5,Don Carlos Taco Shop,California,La Jolla,4.0,4.5,7.75,3.7,847,285.0
6,Lolita's taco shop,2 in 1,Kearny Mesa,4.0,4.4,8.75,4.0,13,65.0
7,Pokirrito,Pokirrito classic ,Kearny Mesa,4.0,4.3,11.95,4.2,13,65.0
8,Mikes Taco Club,California,Ocean Beach,4.5,4.9,8.59,4.3,522,177.0
9,La Perla Cocina,Addiction,Pacific Beach,4.5,4.7,7.99,2.5,1052,157.0
10,Taco Surf PB,California,Pacific Beach,4.0,4.6,7.14,4.4,1052,157.0
11,Ortiz's Taco Shop #2,California,Pacific Beach,4.0,4.2,6.39,4.25,1052,157.0
12,California Burritos,California Everything,Linda Vista,4.5,4.4,6.25,4.1,133,100.0
13,Lupe's Taco Shop,Hot cheetos,Linda Vista,3.5,4.5,7.29,3.7,133,100.0
14,Papa Chito's Mexican Food,California,University City,2.5,3.3,6.25,2.2,230,90.0
15,La Morena Taco Shop and Seafood,California,Webster,4.5,4.7,6.35,3.0,25,85.0
16,Gloria's Taco Shop,California ,South Park,4.0,4.3,5.65,2.7,101,100.0
17,Caliente Mexican Food,carne asada ,Sorrento Valley,3.5,4.4,5.56,3.5,31,120.0
